General skills,data bases,programing,Marketing Skills,Management Skills,Sales Skills, Design Skills,Technical Skills,Finance Skills,Education Skills,Web Development Skills,Web Development Skills,Nursing and Healthcare Skills
Active listening,Oracle,HTML and CSS,Data analysis,Six Sigma techniques,Customer Relationship Management (CRM),Adobe Creative Suite,Microsoft Office Pack,Microsoft Excel (Advanced),Updated curriculum knowledge,HTML/CSS,SQL and Hive,Mathematics
Adaptability,MySQL,Python,Web analytics,The McKinsey 7s Framework,Cold-calling,Dreamweaver,Filing and paper management,Enterprise Resource Planning,Research & Data analysis,CSS preprocessors,"STATA, SPSS, SAS",CPR
Administration,Microsoft SQL Server,Java,SEO/SEM,Porterâ€™s Five Forces,Negotiation,Infographics,Data entry,Big Data Analysis & SQL,Communication,Javascript,Data Mapping,Patient care and assistance
Advocacy,PostgreSQL,JavaScript,HTML & CSS,PESTEL,Public speaking,HTML & CSS,Bookkeeping through Excel or TurboTax,Know Your Customers (KYC),Educational platforms,Wordpress,Entity Relationship Diagrams,Paperwork/record-keeping abilities
Analysis,MongoDB,Swift,Wordpress,Emotional Intelligence,Closing,Photo editing,Research and data analysis,Cognos Analytics (IBM),Stress management,Graphic User Interfaces (GUI),Wireframes,Compassion
Analytical,IBM Db2,C++,Email marketing,Dealing with work-related stress,Lead generation,Typography,Basic knowledge of user interface communication,Visual Basic,Technological & digital literacy,"Git/Version control (Github, gitlab)",Big Data tools,Advanced Cardiac Life Support (ACLS)
Assertiveness,Redis,C#,Web scraping,Motivation,Buyer-Responsive selling,Storyboarding,Technical writing,Accounting Software,Patience,Search Engine Optimization (SEO),Microsoft Visio,Telemetry
Attention to detail,Elasticsearch,R,CRO and A/B Testing,Task delegation,Buyer engagement,Logo creation,Cloud networking and file sharing,Revenue recognition,Critical thinking,Application Programming Interface (API),Agile Business Analysis,Attention to detail
Attentive,Microsoft Access,Golang (Go),Project/campaign management,Technological savviness,Product knowledge,Digital printing,,Anti Money Laundering,Enthusiasm,"Adobe Photoshop, InDesign",Machine learning,Physical endurance
Business acumen,SQLite,PHP,Social media and mobile marketing,People management,Persuasion,Creativity,,Clear communication,Motivation,Content Management Systems (CMS),System Context Diagrams,Acute care
Business analysis,Cassandra,TypeScript,Paid social media advertisements,Business Development,Effective communication and sociability,Attention to detail & aesthetics,,General business knowledge,,Testing/Debugging,Business Process Modeling,Infection control
Business ethics,Splunk,Scala,B2B Marketing,Strategic Management,Empathy,Interactive media design,,Numerical competence,,Responsive design principles,Technical and non-technical communication,Surgery preparation
Business intelligence,MariaDB,Shell,The 4 P-s of Marketing,Negotiation,Social media/digital communication,Color sense & theory,,Accuracy,,,,
Business management,Teradata,PowerShell,Consumer Behavior Drivers,Planning,Teamwork,Ad design,,Attention to detail,,,,
Business writing,Hive,Perl,Brand management,Proposal writing,Time management,Active listening,,,,,,
Coaching,Solr,Haskell,Creativity,Problem-solving,,,,,,,,
Collaboration,HBase,Kotlin,Copywriting,Innovation,,,,,,,,
Commercial awareness,FileMaker,Visual Basic .NET,Storytelling,Charisma,,,,,,,,
Communication,SAP HANA,SQL,Sales,,,,,,,,,
Computer literacy,Amazon DynamoDB,Delphi,CMS Tools,,,,,,,,,
Confidence,SAP Adaptive Server,MATLAB,,,,,,,,,,
Conflict management,Neo4j,Groovy,,,,,,,,,,
Conflict resolution,Couchbase,Lua,,,,,,,,,,
Consulting,Memcached,Rust,,,,,,,,,,
Coordination,Microsoft Azure SQL Database,Ruby,,,,,,,,,,
Cooperation,Firebase,Git,,,,,,,,,,
Creative thinking,dynamoDB,Forth,,,,,,,,,,
Creativity,OrientDB,Action Script,,,,,,,,,,
Critical thinking,,Turbo Pascal,,,,,,,,,,
Customer care,,Rebol,,,,,,,,,,
Customer service,,Assembly Language,,,,,,,,,,
Data analysis,,Julia,,,,,,,,,,
Data entry,,Fortran,,,,,,,,,,
Data management,,Common Lisp,,,,,,,,,,
Debating,,Smalltalk,,,,,,,,,,
Decision making,,Cobol,,,,,,,,,,
Dedication,,Erlang,,,,,,,,,,
Delegation,,Objective-C,,,,,,,,,,
Diplomacy,,Basic Groovy,,,,,,,,,,
Disability awareness,,0Caml,,,,,,,,,,
Dispute resolution,,F#,,,,,,,,,,
Driving licence,,TCL,,,,,,,,,,
Emotional intelligence,,Lisp,,,,,,,,,,
Empathetic,,TK,,,,,,,,,,
Energetic,,Ceylon,,,,,,,,,,
Enthusiastic,,Ada,,,,,,,,,,
Entrepreneurial,,Scheme,,,,,,,,,,
Facilitator,,,,,,,,,,,,
Flexible,,,,,,,,,,,,
Independent,,,,,,,,,,,,
Innovative,,,,,,,,,,,,
Inspirational,,,,,,,,,,,,
Intercultural,,,,,,,,,,,,
Interpersonal communication,,,,,,,,,,,,
IT,,,,,,,,,,,,
Leadership,,,,,,,,,,,,
Leadership communication,,,,,,,,,,,,
Leadership development,,,,,,,,,,,,
Leading a team,,,,,,,,,,,,
Line management,,,,,,,,,,,,
Linguistics,,,,,,,,,,,,
Listening,,,,,,,,,,,,
Literacy,,,,,,,,,,,,
Logical thinking,,,,,,,,,,,,
Loyal,,,,,,,,,,,,
Management,,,,,,,,,,,,
Management communication,,,,,,,,,,,,
Management development,,,,,,,,,,,,
Managing a team,,,,,,,,,,,,
Managing ambiguity,,,,,,,,,,,,
Managing difficult conversations,,,,,,,,,,,,
Managing remote teams,,,,,,,,,,,,
Maths,,,,,,,,,,,,
Meeting management,,,,,,,,,,,,
Mentoring,,,,,,,,,,,,
Motivated,,,,,,,,,,,,
Motivational,,,,,,,,,,,,
Multitasking,,,,,,,,,,,,
Navigation,,,,,,,,,,,,
Negotiation,,,,,,,,,,,,
Networking,,,,,,,,,,,,
Nonverbal communication,,,,,,,,,,,,
Note taking,,,,,,,,,,,,
Numeracy,,,,,,,,,,,,
Numeric,,,,,,,,,,,,
Office administration,,,,,,,,,,,,
Organisation,,,,,,,,,,,,
Organisational,,,,,,,,,,,,
Patience,,,,,,,,,,,,
People management,,,,,,,,,,,,
Perseverant,,,,,,,,,,,,
Persistent,,,,,,,,,,,,
Personal development,,,,,,,,,,,,
Persuasion,,,,,,,,,,,,
Planning,,,,,,,,,,,,
Presentation,,,,,,,,,,,,
Presenting,,,,,,,,,,,,
Problem-solving,,,,,,,,,,,,
Productivity,,,,,,,,,,,,
Project coordination,,,,,,,,,,,,
Project management,,,,,,,,,,,,
Proofreading,,,,,,,,,,,,
Public speaking,,,,,,,,,,,,
Reading body language,,,,,,,,,,,,
Reading comprehension,,,,,,,,,,,,
Reasoning,,,,,,,,,,,,
Relationship building,,,,,,,,,,,,
Relationship management,,,,,,,,,,,,
Report writing,,,,,,,,,,,,
Research,,,,,,,,,,,,
Resilience,,,,,,,,,,,,
Resourceful,,,,,,,,,,,,
Respectful,,,,,,,,,,,,
Risk management,,,,,,,,,,,,
Self awareness,,,,,,,,,,,,
Self management,,,,,,,,,,,,
Self motivated,,,,,,,,,,,,
Sense of humour,,,,,,,,,,,,
Stakeholder management,,,,,,,,,,,,
Strategic planning,,,,,,,,,,,,
Strategic thinking skills,,,,,,,,,,,,
Supervising,,,,,,,,,,,,
Team building,,,,,,,,,,,,
Team leadership,,,,,,,,,,,,
Team management,,,,,,,,,,,,
Team player,,,,,,,,,,,,
Teamwork,,,,,,,,,,,,
Tenacity,,,,,,,,,,,,
Thinking outside the box,,,,,,,,,,,,
Time management,,,,,,,,,,,,
Timekeeping,,,,,,,,,,,,
Training,,,,,,,,,,,,
Troubleshooting,,,,,,,,,,,,
Tutoring,,,,,,,,,,,,
Typing,,,,,,,,,,,,
Verbal communication,,,,,,,,,,,,
Visual communication,,,,,,,,,,,,
Work ethic,,,,,,,,,,,,
Working under pressure,,,,,,,,,,,,
Writing,,,,,,,,,,,,
Writing English,,,,,,,,,,,,
Written communication,,,,,,,,,,,,
Effective communication,,,,,,,,,,,,
Teamwork,,,,,,,,,,,,
Responsibility,,,,,,,,,,,,
Creativity,,,,,,,,,,,,
Problem-solving,,,,,,,,,,,,
Leadership,,,,,,,,,,,,
Extroversion,,,,,,,,,,,,
People skills,,,,,,,,,,,,
Openness,,,,,,,,,,,,
Adaptability,,,,,,,,,,,,
Time management,,,,,,,,,,,,
Effective communication,,,,,,,,,,,,
Emotional intelligence,,,,,,,,,,,,
Conflict management,,,,,,,,,,,,
Teamwork skills,,,,,,,,,,,,
Stress management,,,,,,,,,,,,
Problem-solving,,,,,,,,,,,,
Productivity & organization,,,,,,,,,,,,
Critical thinking,,,,,,,,,,,,
Attention to detail,,,,,,,,,,,,
Adaptability,,,,,,,,,,,,